customer_id,first_name,last_name,email,created_at,is_active
1,Alice,Morgan,alice.morgan@example.com,2024-01-15,true
2,Bob,Chen,bob.chen@example.com,2024-01-20,true
3,Carol,Davis,carol.davis@example.com,2024-02-01,true
4,Dan,Evans,dan.evans@example.com,2024-02-10,false
5,Eve,Foster,eve.foster@example.com,2024-03-01,true
6,Frank,Garcia,frank.garcia@example.com,2024-03-15,true
7,Grace,Hill,grace.hill@example.com,2024-04-01,true
8,Hank,Ito,hank.ito@example.com,2024-04-20,false
9,Ivy,Jones,ivy.jones@example.com,2024-05-05,true
10,Jack,Kim,jack.kim@example.com,2024-05-18,true
